"ExtensionID","ExtensionName","Status","ChromeStoreURL"

"abgcmfemdmcmbkejjdfhpfojkmanppjl","AmazonSeller Filter","Active","https://chrome.google.com/webstore/detail/abgcmfemdmcmbkejjdfhpfojkmanppjl"
"adbkmnjpohaofhdfjlkhhljplkloceml","Roku TV for Chrome","Active","https://chrome.google.com/webstore/detail/adbkmnjpohaofhdfjlkhhljplkloceml"
"aiplpkidjcpbjopeallglaenfaipioko","Babbel - Learn Languages for Chrome","Active","https://chrome.google.com/webstore/detail/aiplpkidjcpbjopeallglaenfaipioko"
"baojmlgpmdcjjmaeljbaogakllakiigm","Cash App - Do more with your money","Active","https://chrome.google.com/webstore/detail/baojmlgpmdcjjmaeljbaogakllakiigm"
"bgeoifdgcnafonfffcmlcjbeldhocnpd","Hide YouTube Comments","Active","https://chrome.google.com/webstore/detail/bgeoifdgcnafonfffcmlcjbeldhocnpd"
"cahiacbilnjhofnmcoboghfaphoogkdn","FaceTime Pro - Enhanced Video Calling","Active","https://chrome.google.com/webstore/detail/cahiacbilnjhofnmcoboghfaphoogkdn"
"cmkoiggpbaihjjoepeeemnadgfljhgce","DropshipMeta - Download Aliexpress images &amp; description","Active","https://chrome.google.com/webstore/detail/cmkoiggpbaihjjoepeeemnadgfljhgce"
"dcjfbgppfdokmjgajnnkgdmkdeiloigh","Picsart: AI Photo Video Editor","Active","https://chrome.google.com/webstore/detail/dcjfbgppfdokmjgajnnkgdmkdeiloigh"
"ebofegihefblgildgndojdabepjmkdbf","Extension Meitu for Chrome","Active","https://chrome.google.com/webstore/detail/ebofegihefblgildgndojdabepjmkdbf"
"edindlabbmapcfpihjcfnkkeanlcbdhk","Hypic - Photo Editor","Active","https://chrome.google.com/webstore/detail/edindlabbmapcfpihjcfnkkeanlcbdhk"
"eebagoopeibddoicipkajpdpogoffoon","WPS Office for Chrome","Active","https://chrome.google.com/webstore/detail/eebagoopeibddoicipkajpdpogoffoon"
"eefampjmgmpmglccekaanhopjfhmafld","Extension Excel Spreadsheets for Chrome","Active","https://chrome.google.com/webstore/detail/eefampjmgmpmglccekaanhopjfhmafld"
"efpkbbhmfgmcaimcehbojooppjkogjpk","Event Tracking Tracker","Active","https://chrome.google.com/webstore/detail/efpkbbhmfgmcaimcehbojooppjkogjpk"
"ehkijipaaenenlhkaimpceckalmlmfdi","PictureThis - Plant Identifier for Chrome","Active","https://chrome.google.com/webstore/detail/ehkijipaaenenlhkaimpceckalmlmfdi"
"ehpejpjfeifejjhccccigpcimipmkbne","Discord Privacy Extension","Active","https://chrome.google.com/webstore/detail/ehpejpjfeifejjhccccigpcimipmkbne"
"ffehilkggmnjbmcpcbknfnkojmnmgeke","Pokemon TCG Pocket Online","Active","https://chrome.google.com/webstore/detail/ffehilkggmnjbmcpcbknfnkojmnmgeke"
"ffkhjnlfjbgljofdaogfcjmcjokhlhkk","ADP Copy &amp; Paste","Active","https://chrome.google.com/webstore/detail/ffkhjnlfjbgljofdaogfcjmcjokhlhkk"
"fhecadckkcelbodcopcpmppdedgjhnob","Vinkle Video Editor","Active","https://chrome.google.com/webstore/detail/fhecadckkcelbodcopcpmppdedgjhnob"
"fkpdmnllplmdeopieofgfighgcchagel","McDonald&#39;s Browser Extension","Active","https://chrome.google.com/webstore/detail/fkpdmnllplmdeopieofgfighgcchagel"
"fpmdblcjhncmgeimkfmfmlcmpefpchml","PaintShop Pro for Chrome","Active","https://chrome.google.com/webstore/detail/fpmdblcjhncmgeimkfmfmlcmpefpchml"
"ghhhfgpngiooinjeiamkcijmpdhdgidb","Peacock TV Stream TV &amp; Movies","Active","https://chrome.google.com/webstore/detail/ghhhfgpngiooinjeiamkcijmpdhdgidb"
"gniocjpkmpggmpaelmjdpekbjmchdhci","Streaming Hub - Tubi HBO Amazon Prime","Active","https://chrome.google.com/webstore/detail/gniocjpkmpggmpaelmjdpekbjmchdhci"
"hcpncginlblddendcdnpockbjmojfpbj","Tab Silencer Pro","Active","https://chrome.google.com/webstore/detail/hcpncginlblddendcdnpockbjmojfpbj"
"hglpafopgdpcgegbiccbpmimjdghagjf","Canva app","Active","https://chrome.google.com/webstore/detail/hglpafopgdpcgegbiccbpmimjdghagjf"
"hgphdkomkmjcaonfcijgbfemjfbjagbj","Extension Word Edit Documents for Chrome","Active","https://chrome.google.com/webstore/detail/hgphdkomkmjcaonfcijgbfemjfbjagbj"
"hoogdcdejjakfcholdbhhddoplcfoppj","Discord Message Logger","Active","https://chrome.google.com/webstore/detail/hoogdcdejjakfcholdbhhddoplcfoppj"
"iiipdgihibeefajenabgmimpocgncnhd","Pixiv Filter","Active","https://chrome.google.com/webstore/detail/iiipdgihibeefajenabgmimpocgncnhd"
"jaallccopdnbeomcnmleelehelbicjdo","Strava GPX downloader","Active","https://chrome.google.com/webstore/detail/jaallccopdnbeomcnmleelehelbicjdo"
"jcoalibkflfdjjaldjobodcmgjmljfdf","Among Us Unblocked","Active","https://chrome.google.com/webstore/detail/jcoalibkflfdjjaldjobodcmgjmljfdf"
"jdagdhhgaljeajmjdgldpbgbbiakdjdm","cast player","Active","https://chrome.google.com/webstore/detail/jdagdhhgaljeajmjdgldpbgbbiakdjdm"
"jgjeheokdgenniggodfoheoklihijcbm","CamScanner Extension","Active","https://chrome.google.com/webstore/detail/jgjeheokdgenniggodfoheoklihijcbm"
"jjbnimknldmndoffkccbmjhfdlneiapp","Adobe Premiere Pro Extension","Active","https://chrome.google.com/webstore/detail/jjbnimknldmndoffkccbmjhfdlneiapp"
"jkojgmebbdagchpibcgaglghfejkkjmo","VivaVideo - Video Editor&amp;Maker","Active","https://chrome.google.com/webstore/detail/jkojgmebbdagchpibcgaglghfejkkjmo"
"kbpjlgdakcecpkdhpfkjmicpgjdhkbpp","Zoom Web Enhancement Suite","Active","https://chrome.google.com/webstore/detail/kbpjlgdakcecpkdhpfkjmicpgjdhkbpp"
"kjbpjdklnajlbnmaamncenafodoikakp","ABPV America&#39;s best pics&amp;vids","Active","https://chrome.google.com/webstore/detail/kjbpjdklnajlbnmaamncenafodoikakp"
"kpccfpbaheeamkjkcgedklfmcgmckcik","DxO PhotoLab 8: RAW photo editing at its finest","Active","https://chrome.google.com/webstore/detail/kpccfpbaheeamkjkcgedklfmcgmckcik"
"lgnnkihpnbnifngajpnlgheppighgjgl","Bing Chat for All Browsers","Active","https://chrome.google.com/webstore/detail/lgnnkihpnbnifngajpnlgheppighgjgl"
"lifjpamfjcekmkaaagcmkhnjoifpcgga","Save for Instagram","Active","https://chrome.google.com/webstore/detail/lifjpamfjcekmkaaagcmkhnjoifpcgga"
