"ExtensionID","ExtensionName","Status","ChromeStoreURL"
"acaeafediijmccnjlokgcdiojiljfpbe","ChatGPT Translate","Active","https://chrome.google.com/webstore/detail/acaeafediijmccnjlokgcdiojiljfpbe"
"baonbjckakcpgliaafcodddkoednpjgf","Chrome Web Store","Active","https://chrome.google.com/webstore/detail/baonbjckakcpgliaafcodddkoednpjgf"
"bilfflcophfehljhpnklmcelkoiffapb","Chrome Web Store","Active","https://chrome.google.com/webstore/detail/bilfflcophfehljhpnklmcelkoiffapb"
"bndkfmmbidllaiccmpnbdonijmicaafn","vksaver - music saver vk","Active","https://chrome.google.com/webstore/detail/bndkfmmbidllaiccmpnbdonijmicaafn"
"ceibjdigmfbbgcpkkdpmjokkokklodmc","Chrome Web Store","Active","https://chrome.google.com/webstore/detail/ceibjdigmfbbgcpkkdpmjokkokklodmc"
"cgmmcoandmabammnhfnjcakdeejbfimn","Grok","Active","https://chrome.google.com/webstore/detail/cgmmcoandmabammnhfnjcakdeejbfimn"
"cicjlpmjmimeoempffghfglndokjihhn","AI Cover Letter Generator","Active","https://chrome.google.com/webstore/detail/cicjlpmjmimeoempffghfglndokjihhn"
"ckicoadchmmndbakbokhapncehanaeni","Chrome Web Store","Active","https://chrome.google.com/webstore/detail/ckicoadchmmndbakbokhapncehanaeni"
"ckneindgfbjnbbiggcmnjeofelhflhaj","AI Image Generator Chat GPT","Active","https://chrome.google.com/webstore/detail/ckneindgfbjnbbiggcmnjeofelhflhaj"
"cmpmhhjahlioglkleiofbjodhhiejhei","Chrome Web Store","Active","https://chrome.google.com/webstore/detail/cmpmhhjahlioglkleiofbjodhhiejhei"
"dbclhjpifdfkofnmjfpheiondafpkoed","Ai Wallpaper Generator","Active","https://chrome.google.com/webstore/detail/dbclhjpifdfkofnmjfpheiondafpkoed"
"djhjckkfgancelbmgcamjimgphaphjdl","Chrome Web Store","Active","https://chrome.google.com/webstore/detail/djhjckkfgancelbmgcamjimgphaphjdl"
"ebmmjmakencgmgoijdfnbailknaaiffh","Chrome Web Store","Active","https://chrome.google.com/webstore/detail/ebmmjmakencgmgoijdfnbailknaaiffh"
"ecikmpoikkcelnakpgaeplcjoickgacj","Chrome Web Store","Active","https://chrome.google.com/webstore/detail/ecikmpoikkcelnakpgaeplcjoickgacj"
"fdlagfnfaheppaigholhoojabfaapnhb","Chrome Web Store","Active","https://chrome.google.com/webstore/detail/fdlagfnfaheppaigholhoojabfaapnhb"
"flnecpdpbhdblkpnegekobahlijbmfok","ChatGPT Picture Generator","Active","https://chrome.google.com/webstore/detail/flnecpdpbhdblkpnegekobahlijbmfok"
"fnjinbdmidgjkpmlihcginjipjaoapol","Chrome Web Store","Active","https://chrome.google.com/webstore/detail/fnjinbdmidgjkpmlihcginjipjaoapol"
"fpmkabpaklbhbhegegapfkenkmpipick","Chat GPT for Gmail","Active","https://chrome.google.com/webstore/detail/fpmkabpaklbhbhegegapfkenkmpipick"
"fppbiomdkfbhgjjdmojlogeceejinadg","Chrome Web Store","Active","https://chrome.google.com/webstore/detail/fppbiomdkfbhgjjdmojlogeceejinadg"
