"ExtensionID","ExtensionName","Status","ChromeStoreURL"
"aohfjaadlbiifnnajpobdhokecjokhab","Amazon ASIN Copy","Active","https://chrome.google.com/webstore/detail/aohfjaadlbiifnnajpobdhokecjokhab"
"gjlbbcimkbncedhofeknicfkhgaocohl","Shopify Search By Image","Active","https://chrome.google.com/webstore/detail/gjlbbcimkbncedhofeknicfkhgaocohl"
"hkhmodcdjhcidbcncgmnknjppphcpgmh","Amazon Sticky Notes","Active","https://chrome.google.com/webstore/detail/hkhmodcdjhcidbcncgmnknjppphcpgmh"
"mcaihdkeijgfhnlfcdehniplmaapadgb","Chrome Web Store","Active","https://chrome.google.com/webstore/detail/mcaihdkeijgfhnlfcdehniplmaapadgb"
"mpgaodghdhmeljgogbeagpbhgdbfofgb","SHEIN Search By Image","Active","https://chrome.google.com/webstore/detail/mpgaodghdhmeljgogbeagpbhgdbfofgb"
"nppjmiadmakeigiagilkfffplihgjlec","BestBuy Search By Image","Active","https://chrome.google.com/webstore/detail/nppjmiadmakeigiagilkfffplihgjlec"
"bonhfflnjgdbnhcpjemkknlhimceckgb","Agent Risk Reminder Remover - CNFans, ACBuy &amp; More","Active","https://chrome.google.com/webstore/detail/bonhfflnjgdbnhcpjemkknlhimceckgb"
"dkhpgbbhlnmjbkihoeniojpkggkabbbl","AI Compare - OneClick to compare ChatGPT, Gemini, Grok and more.","Active","https://chrome.google.com/webstore/detail/dkhpgbbhlnmjbkihoeniojpkggkabbbl"
"eebihieclccoidddmjcencomodomdoei","Supersonic AI","Active","https://chrome.google.com/webstore/detail/eebihieclccoidddmjcencomodomdoei"
"iefpkdilnfhogjbkhgnliaomoldgkdlj","Reverse Recruiting - AI Job Application Assistant","Active","https://chrome.google.com/webstore/detail/iefpkdilnfhogjbkhgnliaomoldgkdlj"
